rewire_id,text,G_label_sexist,G_label_category,G_label_vectors,a_label_sexist,a_label_category,a_label_vectors,b_label_sexist,b_label_category,b_label_vectors,c_label_sexist,c_label_category,c_label_vectors
sexism2022_english-3492,"Yup yup. As a woman looking for a male fwb, this is exactly it. I kind of like a conversation over dinner at least with my sex.",0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-5893,If she focuses on it too much she may dwell and break down. Many people who have experienced something traumatic such as that really don’t like to talk in depth about the things that hurt them,0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-9043,Sott.net calls her #Killary for a reason... [USER],0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-19738,"Later, while being identified at the morgue his wife stroked his face and said, ""Bad day at work, dear?""",0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-16189,"good for you, personally that inner warm and fuzzy idealism of true love died for me once I realized that girls are just as slutty and nasty as guys. so fuck it. imma go wild",1,2,2.2,1,3,3.1,0,0,0,0,0,0
sexism2022_english-5800,"Jessica Chastain chainsawed by [USER] ""Remember, black people don't run America, but they control America by dictating (demanding) how high white people must jump from them on the slightest racial whim"" #DMTBKA [URL]",0,0,0,0,0,0,1,3,3.1,0,0,0
sexism2022_english-15062,"I guess him and Dan ""If she's old enough to bleed, no longer on my dick she'll feed"" Schneider go along well together.",0,0,0,1,2,2.3,0,0,0,0,0,0
sexism2022_english-4689,"Sounds about right. In my experience, the vast majority of women have extremely poor spending habits.",1,2,2.1,1,2,2.1,1,4,4.1,1,4,4.1
sexism2022_english-19433,Frustrated because she is ugly chubby and lesbian.... those idiot cunts have nothing worth wild to say,1,3,3.1,1,3,3.1,1,3,3.2,1,4,4.1
sexism2022_english-16868,"Savage. But seriously I'd take no shit from my imaginary wife. If she doesn't like something, I'll just go sleep on a couch.",0,0,0,1,1,1.1,1,2,2.1,1,3,3.2
sexism2022_english-76,Yeah bro 7 inches is enough to be considered 'big' but not massive ... balls deep you will bottom out on 90% of females (hit the cervix) ... if you ever had a chance to use it :(,0,0,0,0,0,0,0,0,0,1,2,2.3
sexism2022_english-2531,Facebook Sides With Pro-Homosexual Group That Wants To “Burn… Alive” Conservative Blogger Elizabeth Johnston. Twitter has also blocked her. [URL],0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-13918,"There's a lot of perspective in those pictures, something they weren't very good at in those days, also bikinis weren't invented then AFIK..and they tended to dance topless..",0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-4816,"Pull her aside and be a man. Tell her it's inappropriate to touch you like that because you only see her as a friend. If she can't handle that, let her go.",0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-3024,"I don't think the boxcar is the problem at all, rather getting a nazi punk offa her mom's tit long enough to do the deed.",0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-10747,Mueller wants her to discredit someone. Her girls probably did a Russian who knew a guy who knew a guy who knew a Trump guy. Ridiculous! And who cares. Shut Mueller down as a saving to taxpayers.,0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-10157,doesn't change the fact that it's fucking ugly thou.......i don't expect anything from a professional dancer o_0 i don't care but since you showed them to me i commentated how ugly her legs look to me ^^,0,0,0,0,0,0,0,0,0,1,3,3.4
sexism2022_english-3425,Yeah Im sure people bashing Ghostbusters 2016 had nothing to do with the fact that it was a terrible movie. Also funny how Wonder Woman was well received by both male and female audiences #hmmm [URL],0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-13317,The Founders gave us the 2nd Amendment the liberals have repeatedly worked to take it away. Fuck them.,0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-5365,"Australian women tell Muslim Imam to shut up ""We are not your slaves"" #australia #islam #auspol #aupol #ausfam #nothingtodowithislam #sharia #anglosphere [URL]",0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-3279,I dress sharp. I just don't dress sharp for *women.*,0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-11206,Execute them for treason,0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-18546,Aye it is such a taboo territory...like the black caucus ...pointing out the BC is for blax alone and not Americans is taboo fucking Diane is an open gun grabber and Erin Cruz seems to be an Israel first kind of gal interesting take on PN [URL],0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-1319,Eighteen-year old 'confesses to raping and strangling a homeless mother to death before sexually assaulting her corpse' [URL],0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-18507,yes the bikini i suggested was not meant for just females ! all tho guess most read it that way ! good for goose is good for gander !!,0,0,0,0,0,0,0,0,0,1,2,2.3
sexism2022_english-3038,[USER] seriously fucker? Now I'm looking up Orcan...,0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-4390,"All sex outside of marriage is fornication Anglin. For a harlot is a deep pit And an adulterous woman is a narrow well. Surely she lurks as a robber, And increases the faithless among men."" Don't trust these hoes!",1,2,2.1,1,2,2.1,1,2,2.3,1,2,2.1
sexism2022_english-17058,"Wait explain to me how she has been fucked over? Earns millions, doesn't worry about paying bills, has no kids, no responsibility, has young girls look up to her, and men groveling at her feet!",0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-17553,21k red pilled women what the fuck,0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-3696,"brown and black girls can openly state their preferences in public but whit people have to play the politically correct songs of "" i have no preference """,0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-13425,The only things Islamic women are “upper most” above are livestock and infidels.,1,2,2.1,1,4,4.2,1,4,4.2,1,4,4.2
sexism2022_english-4510,"That is Sarah McDaniel and it's a shame because she is really damn hot but she adopted a fake blue eye and fake boobs to look ""hotter"", but that kind of kills it because they're fake.",0,0,0,0,0,0,0,0,0,1,2,2.3
sexism2022_english-8322,diversity' in the name of de-mock-racy makes for INSANITY... Give me hierarchy based on ability over the sham any time...,0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-12,"Unfortunately, it's mostly white women who get abortions, get damaged from the experience, and don't have more kids later in life. Compared to non-whites who have two abortions and four kids later...",0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-19458,It would be better if she had to wonder why you didn't sleep with her than to have her wonder why she slept with such a poor lay.,0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-497,And if we said ‘women are trash’ it’s a completely different story..,1,4,4.2,0,0,0,0,0,0,1,3,3.4
sexism2022_english-10009,women recycle the same guys because they think it doesn't make them sluts. her ex will always be her potential fucker even if she says it's over long ago. if she fucks her ex while dating you it's not cheating at all according to the slut,1,2,2.1,1,3,3.1,1,3,3.1,1,3,3.1
sexism2022_english-13874,"Only 13,000 people voted for that twat. People act like she won a large hotly contested district... she didn't. 13,000 morons are responsible for that bitch",1,2,2.2,1,3,3.1,1,3,3.1,1,3,3.1
sexism2022_english-12073,Yes go have sex with her. Who cares if you fucked a slut? The only people that care are the ones who aren't having sex in their life.,1,2,2.2,1,3,3.1,1,3,3.1,1,3,3.1
sexism2022_english-4990,A blackpilled man can only be pleasently surprised.,0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-6705,Bicycling is white privilege. As is having money and buying things. The solution is for white allies to gift bicycles to the PEONs (poor eternally oppressed negroes). [URL],0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-8468,"sometimes i howl at the little woman-- ""Get that nigger OFF my TV!"" i'm a gentle pussycat.",0,0,0,0,0,0,0,0,0,1,3,3.3
sexism2022_english-6157,"What are the blonde's first words after 4 years of college? ""Would you like fries with that?""",1,3,3.2,1,3,3.2,1,3,3.2,1,3,3.2
sexism2022_english-2960,"They can't turn the steering wheel with those tiny, tiny, wrists.",0,0,0,0,0,0,1,3,3.2,1,3,3.2
sexism2022_english-10246,"I am married for 25 years with 2 daughters, no mother, so yes definitely applies to me. There is no evidence of what you are saying here. I think you are being an idiot and coming up with an unsupported statement.",0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-8100,"The pandering, traitorous whore said what, Fox News? smh",1,2,2.2,1,3,3.1,1,3,3.1,1,3,3.1
sexism2022_english-11222,Not going to happen. She is finished. She better get ready for the trial. Orange is the new color for many of her friends as well.[USER],0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-7741,seeing how clams of women beating are fake im not buying that + 90% of domestic abuse is perpetrated by females not males. As for the leaking an banning I believe that.,1,2,2.1,1,4,4.1,1,4,4.1,1,4,4.2
sexism2022_english-13632,The women that Roe vrs Wade would affect should die anyway. Fucking baby killers.,1,1,1.2,1,1,1.2,1,2,2.2,1,1,1.2
sexism2022_english-12141,You should make a version showing the effect if the mean Jewish IQ is 105 instead of 115. Might also be interesting to see what the effect is if Asians have a smaller SD than Whites.,0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-11348,"we get it, you're tiger moms",0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-14164,"She’s the work mom, she’ll keep the younger honeys in line. She’s actually doing you a favor and it’s good advice. Read the stickied Corporateland post about different types of women in the office, it’s a not-terrible rule of thumb.",1,3,3.3,0,0,0,0,0,0,1,3,3.4
sexism2022_english-1848,Renze's controversial opinion of the day: abortions should be legal but be paid for by the couple and not by the government. If a woman was raped and proven then the government should pay.,0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-11013,No... you missed it. She didn't die... no poison in her cup.,0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-3679,crude hacks are my speciality,0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-6780,"The ""fake news"" bullshit myth has officially been killed. Loser leftists, any other terms you want us to hijack? Try again faggots!",0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-8971,We did not bust our asses to defeat Hillary just to end up with her foreign policy anyway.,0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-19166,LOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOL! OUT OUT OUT! A girl is LITERALLY begging you to fuck her and you still browse this shithole?,0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-8901,"These are the real enablers of this shit, women are spoiled so they don't know different, it's not their fault.",1,2,2.1,1,3,3.4,1,3,3.2,1,3,3.3
sexism2022_english-17499,i have done number of approaches. i have never had a girls guy text me at all. that’s super strange,0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-5560,Tommy is against the rape of underage British girls. and the British Army are against that . so the British army are 'for' the rape of underage British girls.. interesting choice,0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-6347,you grab her face and go in on her. Yeah and then you punch her! YAY!,1,1,1.2,1,1,1.2,1,1,1.2,1,1,1.2
sexism2022_english-9893,Why not chase young skirts when you're in your mid 20s?,0,0,0,1,2,2.3,1,2,2.3,1,2,2.3
sexism2022_english-8012,Asian-white intermarriage is enormous LMAO the white man only registers Asian women as human.,0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-10526,"True enough, but if you're outcome dependent, then you're not going to be willing to do what might be necessary to get the girl. Also if you fuck up, the loss is going to hurt you more. But yeah, it's different, not worse. That's all.",0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-280,"You don't ""begin"" as a female - you ARE a female. Calling a fish a horse doesn't make it neigh. [USER]",0,0,0,0,0,0,0,0,0,1,3,3.3
sexism2022_english-6732,"If the way Andrew runs the place distresses you so much, why don't you pull up your little girl panties & go home, whiner???",1,3,3.1,1,3,3.1,1,2,2.1,1,3,3.1
sexism2022_english-5069,"I'd probably dump my sperm in her, but only if she was in another country and i knew i was never going to get fucked by her dumb whore pussy.",1,2,2.3,1,2,2.3,1,2,2.2,1,3,3.1
sexism2022_english-13294,"Go on then I’ll humour you, if the purpose of this sub ISN’T to berate women, what is it’s purpose Casanova? Because to the untrained eye, it looks like one hell of a circle jerk.",0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-13999,Why are the authorities scared to say Muslim rape gangs (as they clearly are) .,0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-13158,"diodn't he have a me too girl call him out too?the preacher who says God D...it in church,obamas daddy,what about warren buffet who owes 1 billion,msm silenced,hopefully we have a change of tide&these mafioso punks have to pay the piper,or hang",0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-2631,Why the fuck would you follow some THOT on Instagram? If she breathes....,1,2,2.2,1,2,2.3,1,2,2.1,1,3,3.1
sexism2022_english-13853,Congrats on your bride. Greater love hath no man than to give up TX for a woman. I don't know whether to shake your hand or smack you one up side the head. LMAO !!!,0,0,0,1,2,2.1,0,0,0,1,2,2.3
sexism2022_english-3441,It's our life force and they need it - we don't need them. That's the mantra I'm trying to brand onto my brain regarding my approach with women.,1,3,3.2,1,2,2.1,1,4,4.2,1,4,4.2
sexism2022_english-6322,Le Penn is facing court for speaking out against muslim terrorists,0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-5392,The women who flock to feminism (ie about 24%) know it isn't about equality. It really doesn't seem to be about empowering women either. It's just about attacking men.,1,2,2.1,0,0,0,1,3,3.4,1,3,3.4
sexism2022_english-10618,[USER] I'm gonna make your mom go woo hoohoo😂 [USER]🍻 #WooWednesday,0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-13001,"If I want women with unchanging faces, I could just get myself a sex-doll.",1,2,2.3,1,2,2.3,1,2,2.3,1,2,2.3
sexism2022_english-18746,those bastards at the NPA (Nation pop tart association) controlling our lives with their lobbying and stuff......,0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-6757,"Well, a lot of women seem to enjoy fucking children if recent news is anything to go by..",1,2,2.1,1,2,2.1,1,2,2.1,1,2,2.1
sexism2022_english-13157,"Assassins??? We don’t want her gone! We want her to keep talking! The more she talks, the better us Deplorable’s look!!! #MAGA #Deplorables #DrainTheSwamp #VoteDemsOut [URL] via [USER]",0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-9397,I used to think looks didn't matter and that all I had to do was keep my game tight. . I want to slap myself.,0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-4241,Reddit cuck going all the way to grant pussy pass.,1,4,4.2,0,0,0,1,0,0,1,3,3.1
sexism2022_english-6613,"A 17 year old gay guy with an incel identity 2019 America lol Coming soon in 2020 America : I'm a girl and can't get any dick, no matter what I try, there must be something wrong with me Clown world",0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-17973,"Well, when men can become women just by feelings, this is a fucked up world now.",0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-12201,"Buzz off, kike.",0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-19006,"I'm a natural introvert but I have an out going side when out, Any tips on observing myself because I tend to be a dancing monkey when I'm in the moment and I feel like my response time makes me hesitate if I think about the girl, thanks",0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-11194,"Chuck Schumer called in the big guns, didn't he? His slag niece who likes to take her clothes off.",1,2,2.2,1,3,3.1,1,2,2.1,1,3,3.1
sexism2022_english-16168,"Love the guy who pointed out that they went from having to please their husbands to having to please every jackass at their job. Yeah, you go girls, what an improvement that was.",1,4,4.2,1,2,2.1,1,3,3.4,1,4,4.2
sexism2022_english-15350,"But it’s OK if she really is a meretricious, cheating c**t, right? Just checking . . . thought I’d check first.",1,3,3.1,1,3,3.1,1,3,3.1,1,3,3.1
sexism2022_english-712,"Police raid Vatican apartment, ""Doctrine of the Faith"" and find? [URL] via [USER]",0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-5550,"+1 on that, may the chads pay for them as they got women's best years. Well, it won't happen as Chads won't commit",1,3,3.2,0,0,0,0,0,0,0,0,0
sexism2022_english-8843,"Holy cow dude. Cheeeeel. This is just to get a girl you like back, no need to make it overcomplicated",0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-13386,"Fuck everything effects ,minorities and women more than white males. Fuck that. Fuck off!",0,0,0,0,0,0,0,0,0,1,2,2.2
sexism2022_english-3041,"So, who is supposed to support these four wives and 23 children?",0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-16581,This is really not her fault. IT IS THE FAULT OF THEIR BOYS. IT IS THE MEN WHO CREATED AND CONTINUE WITH THIS NASTY (muhammads mother mated with swine) CULTURE. THEY ARE BILE,0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-87,"This amazing display of *literally* talking about a woman as a piece of meat (hamburger meat, to be exact) is one of the Escapist staff who have repeatedly worked with the Great and the Good who cannot be questioned to champion their cause.",0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-2206,Lol at your downvotes. If you're going to shit on a group at least be self aware about it.,0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-15516,"Her: Can I bring my friend? You: Is she hot? Her: Well..... You: No. (smile if in person, smiley face if texting). ALTERNATE You: Is she hot? Her: Yes You: Cool. I'll tell my buddy to come, too. OR Is she ok with threesomes (not for amateurs).",0,0,0,1,2,2.3,1,3,3.2,1,3,3.2
sexism2022_english-17576,No respectable lady should be without one in the winter.,0,0,0,0,0,0,1,3,3.3,1,4,4.1
sexism2022_english-7553,WMAF have infested everywhere. I'm predicting more Buckners in the future. How many would you say you see per day though?,0,0,0,0,0,0,0,0,0,0,0,0
